,Source,Block Name,Variable Name,Variable Description,Value,Value Description
883809,MCS,MCS_basic_demographic_cm,study_id_e,,,
883810,MCS,MCS_basic_demographic_cm,pnum,Cohort Member number whithin an MCS family,,
883811,MCS,MCS_basic_demographic_cm,adc11e00,DV Cohort Member Ethnic Group - 11 category Census class,,
883812,MCS,MCS_basic_demographic_cm,bdc11e00,DV Cohort Member Ethnic Group - 11 category Census class,,
883813,MCS,MCS_basic_demographic_cm,gcmcs7ag,Age at interview to nearest 10th of year,,
883814,MCS,MCS_basic_demographic_cm,gcapnt00,Are you currently doing an Apprenticeship?,,
883815,MCS,MCS_basic_demographic_cm,gcbgfr00,Have you got a [BGFR]?,,
883816,MCS,MCS_basic_demographic_cm,gceduc00,Are you currently going to school or college?  This includes being on study leave or doing exams.          If you are on holiday or off sick at the moment,,
883817,MCS,MCS_basic_demographic_cm,gcjobs00,And are you currently doing any kind of paid job? Please only include paid jobs,,
883818,MCS,MCS_basic_demographic_cm,gcmnac00,You said that you are doing more than one activity. Which of these things would you say is your main activity? That is the one you spend the most hours doing in a normal week.,,
883819,MCS,MCS_basic_demographic_cm,gctrin00,Are you currently doing any kind of traineeship,,
883820,MCS,MCS_basic_demographic_cm,gcsoc00_tr3,Cohort Member Job S0C2010 coding [truncated to 3 characters],,
883821,MCS,MCS_basic_demographic_cm,avail_from_dt,,,
883822,MCS,MCS_basic_demographic_cm,mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,,
