,Source,Block Name,Variable Name,Variable Description,Value,Value Description
884195,MCS,mcs7_parent_cm_interview,study_id_e,,,
884196,MCS,mcs7_parent_cm_interview,pnum,Person number within an MCS family (excl Cohort Members,,
884197,MCS,mcs7_parent_cm_interview,gcnum00,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
884198,MCS,mcs7_parent_cm_interview,gcnum00,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
884199,MCS,mcs7_parent_cm_interview,gcnum00,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
884200,MCS,mcs7_parent_cm_interview,g_out_parquest,Outcome for Parent_CM questions: PARCAWI and/or Parent-SDQ,1.0,Parent CAWI and Parent-reported SDQ (paper)
884201,MCS,mcs7_parent_cm_interview,g_out_parquest,Outcome for Parent_CM questions: PARCAWI and/or Parent-SDQ,2.0,Parent CAWI only
884202,MCS,mcs7_parent_cm_interview,g_out_parquest,Outcome for Parent_CM questions: PARCAWI and/or Parent-SDQ,3.0,Parent-reported SDQ (paper)
884203,MCS,mcs7_parent_cm_interview,gpcmed00,Is the Cohort Member (CNUM) currently in school or college?,1.0,Yes
884204,MCS,mcs7_parent_cm_interview,gpcmed00,Is the Cohort Member (CNUM) currently in school or college?,2.0,No
884205,MCS,mcs7_parent_cm_interview,gpcmed00,Is the Cohort Member (CNUM) currently in school or college?,3.0,Do not know
884206,MCS,mcs7_parent_cm_interview,gpcmed00,Is the Cohort Member (CNUM) currently in school or college?,4.0,I do not wish to answer
884207,MCS,mcs7_parent_cm_interview,gpcmed00,Is the Cohort Member (CNUM) currently in school or college?,5.0,No answer
884208,MCS,mcs7_parent_cm_interview,gpschl00,How involved do you personally feel in the Cohort Member s school/college life - would you say that you feel...?,1.0,Very involved
884209,MCS,mcs7_parent_cm_interview,gpschl00,How involved do you personally feel in the Cohort Member s school/college life - would you say that you feel...?,2.0,Fairly involved
884210,MCS,mcs7_parent_cm_interview,gpschl00,How involved do you personally feel in the Cohort Member s school/college life - would you say that you feel...?,3.0,Not very involved
884211,MCS,mcs7_parent_cm_interview,gpschl00,How involved do you personally feel in the Cohort Member s school/college life - would you say that you feel...?,4.0,Not at all involved
884212,MCS,mcs7_parent_cm_interview,gpschl00,How involved do you personally feel in the Cohort Member s school/college life - would you say that you feel...?,5.0,Do not know
884213,MCS,mcs7_parent_cm_interview,gpschl00,How involved do you personally feel in the Cohort Member s school/college life - would you say that you feel...?,6.0,I do not wish to answer
884214,MCS,mcs7_parent_cm_interview,gpschl00,How involved do you personally feel in the Cohort Member s school/college life - would you say that you feel...?,7.0,No answer
884215,MCS,mcs7_parent_cm_interview,gpaslu00,How likely or unlikely do you think it is that the Cohort Member will go to university?,1.0,Very likely
884216,MCS,mcs7_parent_cm_interview,gpaslu00,How likely or unlikely do you think it is that the Cohort Member will go to university?,2.0,Fairly likely
884217,MCS,mcs7_parent_cm_interview,gpaslu00,How likely or unlikely do you think it is that the Cohort Member will go to university?,3.0,Not very likely
884218,MCS,mcs7_parent_cm_interview,gpaslu00,How likely or unlikely do you think it is that the Cohort Member will go to university?,4.0,Not at all likely
884219,MCS,mcs7_parent_cm_interview,gpaslu00,How likely or unlikely do you think it is that the Cohort Member will go to university?,5.0,Do not know
884220,MCS,mcs7_parent_cm_interview,gpaslu00,How likely or unlikely do you think it is that the Cohort Member will go to university?,6.0,I do not wish to answer
884221,MCS,mcs7_parent_cm_interview,gpaslu00,How likely or unlikely do you think it is that the Cohort Member will go to university?,7.0,No answer
884222,MCS,mcs7_parent_cm_interview,gpasux0a,Reason for unlikely for the CM to go to University MC (A) They won't achieve the required grades,-1.0,Not Applicable
884223,MCS,mcs7_parent_cm_interview,gpasux0a,Reason for unlikely for the CM to go to University MC (A) They won't achieve the required grades,0.0,No
884224,MCS,mcs7_parent_cm_interview,gpasux0a,Reason for unlikely for the CM to go to University MC (A) They won't achieve the required grades,1.0,Yes
884225,MCS,mcs7_parent_cm_interview,gpasux0b,Reason for unlikely for the CM to go to University MC (A) We can't afford it (including worried by student debt),-1.0,Not Applicable
884226,MCS,mcs7_parent_cm_interview,gpasux0b,Reason for unlikely for the CM to go to University MC (A) We can't afford it (including worried by student debt),0.0,No
884227,MCS,mcs7_parent_cm_interview,gpasux0b,Reason for unlikely for the CM to go to University MC (A) We can't afford it (including worried by student debt),1.0,Yes
884228,MCS,mcs7_parent_cm_interview,gpasux0c,Reason for unlikely for the CM to go to University MC (A) They would prefer to get a job / start a career,-1.0,Not Applicable
884229,MCS,mcs7_parent_cm_interview,gpasux0c,Reason for unlikely for the CM to go to University MC (A) They would prefer to get a job / start a career,0.0,No
884230,MCS,mcs7_parent_cm_interview,gpasux0c,Reason for unlikely for the CM to go to University MC (A) They would prefer to get a job / start a career,1.0,Yes
884231,MCS,mcs7_parent_cm_interview,gpasux0d,Reason for unlikely for the CM to go to University MC (A) Going to university will not help them in their future career,-1.0,Not Applicable
884232,MCS,mcs7_parent_cm_interview,gpasux0d,Reason for unlikely for the CM to go to University MC (A) Going to university will not help them in their future career,0.0,No
